set,tool,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.254026,0.012007,0.251379,0.240773,0.288289,2.444456,0.36532,15,,,
control-end,mezura,/home/petros/Documents/dev/tools/control/mezura /home/petros/Documents/dev/bench/linux,0.253994,0.00974,0.25321,0.237019,0.274571,2.439593,0.370298,15,,,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.254804,0.014549,0.251996,0.23517,0.278929,2.450292,0.343825,15,,,
control-start,mezura,/home/petros/Documents/dev/tools/control/mezura /home/petros/Documents/dev/bench/linux,0.256533,0.010025,0.254627,0.239941,0.272512,2.386858,0.389481,15,,,
sweep-mezura,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region",0.229487,0.011998,0.230844,0.210175,0.257316,2.083314,0.349814,15,,,
sweep-mezura,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 4 64",0.228154,0.013821,0.226297,0.20448,0.25275,2.103187,0.369679,15,,,
sweep-mezura,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 16 64",0.22806,0.007903,0.227917,0.212875,0.244604,2.051944,0.364014,15,,,
sweep-mezura,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 8 32",0.220116,0.008195,0.220495,0.204251,0.232867,2.127625,0.33937,15,,,
sweep-mezura,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 8 128",0.235646,0.009231,0.237089,0.213874,0.252174,2.021724,0.370963,15,,,
sweep-mezura,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 16 128",0.235476,0.010424,0.23648,0.216149,0.256255,2.029826,0.363302,15,,,
sweep-scc,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config",0.471893,0.002394,0.471033,0.467321,0.476068,5.788204,0.367765,15,,,
sweep-scc,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 32",0.452587,0.002513,0.452515,0.44741,0.456222,5.849854,0.414747,15,,,
sweep-scc,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 64",0.450101,0.003209,0.449676,0.445067,0.45832,5.911209,0.407228,15,,,
sweep-scc,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 32 --directory-walker-job-workers 16",0.454112,0.003335,0.453464,0.449771,0.460321,5.865379,0.404864,15,,,
