set,tool,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.264736,0.015825,0.261318,0.24105,0.302843,2.52821,0.347301,15,,,,10.86,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.264178,0.008267,0.2662,0.243453,0.279528,2.4708,0.367382,15,,,,10.74,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --no-heuristics",0.2268,0.011308,0.226551,0.21067,0.252665,2.097088,0.35352,15,63864,36036878,158892874,10.81,14705282
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config",0.471949,0.002854,0.471323,0.468741,0.478815,5.767521,0.401446,15,63724,36013098,76307162,13.07,5837784
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux -t ""C,C Header,GNU Style Assembly,Python,Perl,Rust,Shell""",0.473537,0.003752,0.47334,0.469075,0.484574,5.660314,0.590373,15,63782,36022156,76070371,13.2,5762912
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux -t ""C,C Header,GNU Style Assembly,Python,Perl,Rust,Shell""",0.47393,0.002987,0.473669,0.468835,0.481045,5.675746,0.57284,15,63782,36022156,76007400,13.18,5764849
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config",0.472359,0.002144,0.472019,0.46865,0.477104,5.78685,0.390181,15,63724,36013098,76240915,13.08,5830163
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --no-heuristics",0.229327,0.008087,0.226475,0.221005,0.246481,2.132386,0.345339,15,63864,36036878,157141933,10.8,14544339
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.259241,0.009762,0.257751,0.246854,0.282228,2.529709,0.353086,15,66539,35816820,138160262,11.12,12424338
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.689339,0.003024,0.689226,0.682841,0.695349,8.949015,0.444087,15,83784,39993947,58017820,13.63,4257800
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux,0.521409,0.003987,0.521196,0.514607,0.53112,6.362597,0.743948,15,83843,39992832,76701486,13.63,5627605
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux,0.521533,0.002629,0.521012,0.516753,0.525542,6.351226,0.739891,15,83843,39992832,76683157,13.6,5639849
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.688134,0.003633,0.688419,0.680481,0.694958,8.984236,0.418617,15,83784,39993947,58119403,13.66,4253384
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.268246,0.013583,0.265074,0.249081,0.301997,2.505156,0.345752,15,66539,35816820,133522339,10.63,12563302
